inventory_id,product_id,product_name,category,warehouse_id,warehouse_name,quantity_on_hand,reorder_threshold,stock_value,last_updated
INV0001,P001,Product 1,Electronics,WH01,Jaipur Central,117,54,20334.600000000002,2026-07-06
INV0002,P001,Product 1,Electronics,WH02,Delhi North,205,84,35629.0,2026-07-02
INV0003,P001,Product 1,Electronics,WH03,Mumbai West,108,122,18770.4,2026-07-06
INV0004,P002,Product 2,Stationery,WH01,Jaipur Central,108,133,124728.12000000001,2026-07-08
INV0005,P002,Product 2,Stationery,WH02,Delhi North,202,132,233287.78000000003,2026-07-08
INV0006,P002,Product 2,Stationery,WH03,Mumbai West,73,83,84306.97,2026-07-03
INV0007,P003,Product 3,Apparel,WH01,Jaipur Central,126,145,60524.100000000006,2026-07-09
INV0008,P003,Product 3,Apparel,WH02,Delhi North,275,83,132096.25,2026-07-10
INV0009,P003,Product 3,Apparel,WH03,Mumbai West,219,124,105196.65000000001,2026-07-07
INV0010,P004,Product 4,Electronics,WH01,Jaipur Central,185,78,36537.5,2026-07-03
INV0011,P004,Product 4,Electronics,WH02,Delhi North,260,113,51350.0,2026-07-02
INV0012,P004,Product 4,Electronics,WH03,Mumbai West,386,56,76235.0,2026-07-02
INV0013,P005,Product 5,Stationery,WH01,Jaipur Central,78,130,199017.78000000003,2026-07-03
INV0014,P005,Product 5,Stationery,WH02,Delhi North,405,137,1033361.55,2026-07-07
INV0015,P005,Product 5,Stationery,WH03,Mumbai West,305,58,778210.55,2026-07-07
INV0016,P006,Product 6,Apparel,WH01,Jaipur Central,195,126,201678.75,2026-07-08
INV0017,P006,Product 6,Apparel,WH02,Delhi North,270,82,279247.5,2026-07-09
INV0018,P006,Product 6,Apparel,WH03,Mumbai West,440,51,455070.0,2026-07-11
INV0019,P007,Product 7,Grocery,WH01,Jaipur Central,369,64,421095.42000000004,2026-07-11
INV0020,P007,Product 7,Grocery,WH02,Delhi North,453,118,516954.54000000004,2026-07-05
INV0021,P007,Product 7,Grocery,WH03,Mumbai West,393,132,448483.74000000005,2026-07-06
INV0022,P008,Product 8,Furniture,WH01,Jaipur Central,57,87,126366.435,2026-07-07
INV0023,P008,Product 8,Furniture,WH02,Delhi North,80,108,177356.4,2026-07-01
INV0024,P008,Product 8,Furniture,WH03,Mumbai West,488,142,1081874.04,2026-07-05
INV0025,P009,Product 9,Stationery,WH01,Jaipur Central,497,114,1742377.63,2026-07-03
INV0026,P009,Product 9,Stationery,WH02,Delhi North,259,63,907999.61,2026-07-11
INV0027,P009,Product 9,Stationery,WH03,Mumbai West,152,131,532880.08,2026-07-09
INV0028,P010,Product 10,Furniture,WH01,Jaipur Central,311,75,254901.82,2026-07-03
INV0029,P010,Product 10,Furniture,WH02,Delhi North,191,147,156547.42,2026-07-03
INV0030,P010,Product 10,Furniture,WH03,Mumbai West,276,149,226215.12,2026-07-09
INV0031,P011,Product 11,Electronics,WH01,Jaipur Central,470,50,239272.3,2026-07-10
INV0032,P011,Product 11,Electronics,WH02,Delhi North,165,112,83999.84999999999,2026-07-01
INV0033,P011,Product 11,Electronics,WH03,Mumbai West,57,96,29018.129999999997,2026-07-05
INV0034,P012,Product 12,Furniture,WH01,Jaipur Central,122,57,517902.20000000007,2026-07-04
INV0035,P012,Product 12,Furniture,WH02,Delhi North,449,122,1906049.9000000001,2026-07-02
INV0036,P012,Product 12,Furniture,WH03,Mumbai West,43,143,182539.30000000002,2026-07-08
INV0037,P013,Product 13,Furniture,WH01,Jaipur Central,417,58,1686881.76,2026-07-09
INV0038,P013,Product 13,Furniture,WH02,Delhi North,392,66,1585749.76,2026-07-03
INV0039,P013,Product 13,Furniture,WH03,Mumbai West,337,110,1363259.36,2026-07-09
INV0040,P014,Product 14,Apparel,WH01,Jaipur Central,84,83,56102.76,2026-07-09
INV0041,P014,Product 14,Apparel,WH02,Delhi North,446,127,297878.94,2026-07-07
INV0042,P014,Product 14,Apparel,WH03,Mumbai West,493,77,329269.77,2026-07-09
INV0043,P015,Product 15,Electronics,WH01,Jaipur Central,386,143,1074083.5999999999,2026-07-04
INV0044,P015,Product 15,Electronics,WH02,Delhi North,365,89,1015649.0,2026-07-07
INV0045,P015,Product 15,Electronics,WH03,Mumbai West,343,133,954431.7999999999,2026-07-06
INV0046,P016,Product 16,Furniture,WH01,Jaipur Central,224,116,651367.36,2026-07-08
INV0047,P016,Product 16,Furniture,WH02,Delhi North,61,81,177381.28999999998,2026-07-04
INV0048,P016,Product 16,Furniture,WH03,Mumbai West,32,93,93052.48,2026-07-01
INV0049,P017,Product 17,Electronics,WH01,Jaipur Central,301,120,1000298.25,2026-07-04
INV0050,P017,Product 17,Electronics,WH02,Delhi North,301,78,1000298.25,2026-07-01
INV0051,P017,Product 17,Electronics,WH03,Mumbai West,36,140,119637.0,2026-07-11
INV0052,P018,Product 18,Electronics,WH01,Jaipur Central,30,79,128514.59999999999,2026-07-02
INV0053,P018,Product 18,Electronics,WH02,Delhi North,463,54,1983408.66,2026-07-06
INV0054,P018,Product 18,Electronics,WH03,Mumbai West,36,115,154217.52,2026-07-04
INV0055,P019,Product 19,Grocery,WH01,Jaipur Central,142,135,202487.74,2026-07-08
