inventory_id,product_id,warehouse_id,quantity_on_hand,reorder_threshold,last_updated
INV0001,P001,WH01,117,54,2026-07-06
INV0002,P001,WH02,205,84,2026-07-02
INV0003,P001,WH03,108,122,2026-07-06
INV0004,P002,WH01,108,133,2026-07-08
INV0005,P002,WH02,202,132,2026-07-08
INV0006,P002,WH03,73,83,2026-07-03
INV0007,P003,WH01,126,145,2026-07-09
INV0008,P003,WH02,275,83,2026-07-10
INV0009,P003,WH03,219,124,2026-07-07
INV0010,P004,WH01,185,78,2026-07-03
INV0011,P004,WH02,260,113,2026-07-02
INV0012,P004,WH03,386,56,2026-07-02
INV0013,P005,WH01,78,130,2026-07-03
INV0014,P005,WH02,405,137,2026-07-07
INV0015,P005,WH03,305,58,2026-07-07
INV0016,P006,WH01,195,126,2026-07-08
INV0017,P006,WH02,270,82,2026-07-09
INV0018,P006,WH03,440,51,2026-07-11
INV0019,P007,WH01,369,64,2026-07-11
INV0020,P007,WH02,453,118,2026-07-05
INV0021,P007,WH03,393,132,2026-07-06
INV0022,P008,WH01,57,87,2026-07-07
INV0023,P008,WH02,80,108,2026-07-01
INV0024,P008,WH03,488,142,2026-07-05
INV0025,P009,WH01,497,114,2026-07-03
INV0026,P009,WH02,259,63,2026-07-11
INV0027,P009,WH03,152,131,2026-07-09
INV0028,P010,WH01,311,75,2026-07-03
INV0029,P010,WH02,191,147,2026-07-03
INV0030,P010,WH03,276,149,2026-07-09
INV0031,P011,WH01,470,50,2026-07-10
INV0032,P011,WH02,165,112,2026-07-01
INV0033,P011,WH03,57,96,2026-07-05
INV0034,P012,WH01,122,57,2026-07-04
INV0035,P012,WH02,449,122,2026-07-02
INV0036,P012,WH03,43,143,2026-07-08
INV0037,P013,WH01,417,58,2026-07-09
INV0038,P013,WH02,392,66,2026-07-03
INV0039,P013,WH03,337,110,2026-07-09
INV0040,P014,WH01,84,83,2026-07-09
INV0041,P014,WH02,446,127,2026-07-07
INV0042,P014,WH03,493,77,2026-07-09
INV0043,P015,WH01,386,143,2026-07-04
INV0044,P015,WH02,365,89,2026-07-07
INV0045,P015,WH03,343,133,2026-07-06
INV0046,P016,WH01,224,116,2026-07-08
INV0047,P016,WH02,61,81,2026-07-04
INV0048,P016,WH03,32,93,2026-07-01
INV0049,P017,WH01,301,120,2026-07-04
INV0050,P017,WH02,301,78,2026-07-01
INV0051,P017,WH03,36,140,2026-07-11
INV0052,P018,WH01,30,79,2026-07-02
INV0053,P018,WH02,463,54,2026-07-06
INV0054,P018,WH03,36,115,2026-07-04
INV0055,P019,WH01,142,135,2026-07-08
INV0056,P019,WH02,109,119,2026-07-03
INV0057,P019,WH03,370,123,2026-07-10
INV0058,P020,WH01,242,81,2026-07-08
INV0059,P020,WH02,413,102,2026-07-04
INV0060,P020,WH03,48,62,2026-07-11
INV0061,P021,WH01,220,95,2026-07-07
INV0062,P021,WH02,210,109,2026-07-01
INV0063,P021,WH03,344,133,2026-07-11
INV0064,P022,WH01,50,57,2026-07-07
INV0065,P022,WH02,372,93,2026-07-02
INV0066,P022,WH03,127,74,2026-07-04
INV0067,P023,WH01,274,107,2026-07-03
INV0068,P023,WH02,216,73,2026-07-05
INV0069,P023,WH03,236,81,2026-07-02
INV0070,P024,WH01,226,120,2026-07-02
INV0071,P024,WH02,25,133,2026-07-09
INV0072,P024,WH03,428,51,2026-07-02
INV0073,P025,WH01,474,146,2026-07-04
INV0074,P025,WH02,85,102,2026-07-08
INV0075,P025,WH03,246,77,2026-07-07
