sale_id,product_id,warehouse_id,sale_date,quantity_sold,unit_price,revenue
SALE00001,P007,WH02,2026-05-07,17,1141.18,19400.06
SALE00002,P021,WH01,2026-07-03,15,3524.01,52860.15
SALE00003,P009,WH01,2026-05-27,18,3505.79,63104.22
SALE00004,P015,WH01,2026-06-06,16,2782.6,44521.6
SALE00005,P021,WH01,2026-05-04,20,3524.01,70480.2
SALE00006,P010,WH01,2026-05-21,18,819.62,14753.16
SALE00007,P014,WH01,2026-07-10,3,667.89,2003.67
SALE00008,P015,WH03,2026-05-15,4,2782.6,11130.4
SALE00009,P016,WH03,2026-05-20,10,2907.89,29078.9
SALE00010,P014,WH02,2026-06-04,16,667.89,10686.24
SALE00011,P015,WH01,2026-06-01,18,2782.6,50086.8
SALE00012,P007,WH03,2026-06-19,20,1141.18,22823.6
SALE00013,P003,WH02,2026-05-18,9,480.35,4323.15
SALE00014,P017,WH01,2026-06-13,9,3323.25,29909.25
SALE00015,P024,WH03,2026-06-06,10,4948.14,49481.4
SALE00016,P005,WH03,2026-07-02,15,2551.51,38272.65
SALE00017,P012,WH03,2026-07-01,11,4245.1,46696.1
SALE00018,P013,WH02,2026-07-09,15,4045.28,60679.2
SALE00019,P023,WH03,2026-05-25,8,858.84,6870.72
SALE00020,P008,WH01,2026-06-19,14,100.0,1400.0
SALE00021,P024,WH03,2026-06-10,16,4948.14,79170.24
SALE00022,P013,WH02,2026-06-18,5,4045.28,20226.4
SALE00023,P005,WH03,2026-05-05,17,2551.51,43375.67
SALE00024,P004,WH01,2026-06-12,15,197.5,2962.5
SALE00025,P015,WH03,2026-07-07,1,2782.6,2782.6
SALE00026,P014,WH01,2026-05-19,5,667.89,3339.45
SALE00027,P009,WH03,2026-06-30,11,3505.79,38563.69
SALE00028,P021,WH02,2026-06-20,3,3524.01,10572.03
SALE00029,P013,WH03,2026-07-08,11,4045.28,44498.08
SALE00030,P018,WH03,2026-07-02,2,4283.82,8567.64
SALE00031,P008,WH01,2026-05-09,10,100.0,1000.0
